SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DAKOFG7CK,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAKOFG7CK,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAKP76NAT,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAKP76NAT,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAKXLM0ST,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAKZVI5SL,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAKZVI5SL,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAKZVI5SL,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAL9SO0BC,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAL9SO0BC,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DALBWIE1W,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DALBWIE1W,HOUSING NON-CRITICAL,H044,FAUCET FIXTURES - UNIT
DALBWIE1W,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DALBWIE1W,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DALBWIE1W,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DALBWIE1W,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DALBWIE1W,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DALKMLYLX,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DALM5FLKJ,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DALM5FLKJ,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DALVYC0HC,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAM09XTUA,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAM0EWUPR,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAMCUZA5Z,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAMMWHTOQ,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAMUGZZDN,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAMW2YVNH,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DANHHUEIM,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DANHHUEIM,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DANINOZF7,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DANMHRD0G,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DANMHRD0G,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DANMHRD0G,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DANMHRD0G,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAO5QZSO1,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAO5QZSO1,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAO5QZSO1,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAO5QZSO1,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAOBVDQZD,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAOBVDQZD,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAOHHYDSP,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAOUVX0TX,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAOZTMCMZ,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAOZZDJSQ,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAPA2UO00,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAPSRT0A0,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAPSRT0A0,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAQMGU0KN,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DARJABP3M,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DARYCMY0M,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DASA9DEWN,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DASAWSRMK,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DASDXJYES,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DASDXJYES,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DASDXJYES,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DASESAXW6,HOUSING NON-CRITICAL,H067,COVER PLATES - PREMISES
DASESAXW6,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DASJGWSRE,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DASJGWSRE,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DASOSK2V4,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DASUSHRKX,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DASUSHRKX,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DASXKW7N3,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DASYMG50H,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DASYMG50H,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DASYMG50H,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DASYMG50H,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DASYMG50H,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DASYMG50H,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DASYMG50H,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAT2RBCK0,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAT2RBCK0,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAT2RBCK0,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAT7WROJB,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DATPVUXFY,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DATPVUXFY,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DATPVUXFY,HOUSING NON-CRITICAL,H093,VENTILATION - PREMISES
DATPVUXFY,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DATPVUXFY,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAU58NXOE,HOUSING NON-CRITICAL,H044,FAUCET FIXTURES - UNIT
DAU58NXOE,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAU58NXOE,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DAU58NXOE,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAU58NXOE,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAU58NXOE,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAU58NXOE,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAUXMMPR0,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAUXMMPR0,HOUSING CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAUXMMPR0,HOUSING NON-CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DAUZDQI7B,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAUZDQI7B,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAVMH9OZF,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAVPB00KL,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAVPB00KL,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAVPB00KL,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAW1FSW0L,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAW1ISOLK,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAW1ISOLK,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAW1ISOLK,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAWGDIF7U,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAWGDIF7U,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAWMYYCPO,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAWT5VEZB,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAWT5VEZB,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAWT5VEZB,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAWT5VEZB,HOUSING NON-CRITICAL,H083,INADEQUATE LIGHTING - PREMISES
DAXBRAUN1,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAXBRAUN1,HOUSING NON-CRITICAL,H006,NO HOT-WATER - UNIT
DAXBRAUN1,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAXBRAUN1,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAXBRAUN1,HOUSING NON-CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DAYANXN0H,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAYANXN0H,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAYANXN0H,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAYANXN0H,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAYANXN0H,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAYANXN0H,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DAYANXN0H,HOUSING NON-CRITICAL,H009,INADEQUATE FLOW - UNIT
DAYFNFVKS,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAYOAYNHM,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAYPZOVSB,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAYPZOVSB,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAYRIEPIS,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAYRIEPIS,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAYTSQ5P0,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAYTSQ5P0,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAYVNIZ8B,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAZ0LLERO,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAZ2QYBR7,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAZ2QYBR7,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAZEEULH0,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAZU3L6DM,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAZUIVZBX,HOUSING NON-CRITICAL,H063,WATER LINE - PREMISES
DA0HIJLMN,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA0HIJLMN,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA0IGFHM9,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA0LXMSQC,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA0LXMSQC,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA0LXMSQC,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA0X6BPUY,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA0XY8ZOF,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA19NKYBY,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA21MVOGC,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA21MVOGC,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA2CWMOQU,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA2CWMOQU,HOUSING NON-CRITICAL,H083,INADEQUATE LIGHTING - PREMISES
DA2CWMOQU,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA2CWMOQU,HOUSING NON-CRITICAL,H006,NO HOT-WATER - UNIT
DA2KFPH3C,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA38LCOT4,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA38LCOT4,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA5ME2L7A,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA5ME2L7A,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA5ME2L7A,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA5TMSQQB,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DA5TMSQQB,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DA5VVBPAN,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA605JXSD,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA6VKSPFS,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA6VKSPFS,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA6VKSPFS,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA6VKSPFS,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA70M0DG5,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA70M0DG5,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA70M0DG5,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA97RKDSX,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA9QNUUHN,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAABLDYBR,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAAMUOOUC,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAAMUOOUC,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAAMUOOUC,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAAMUOOUC,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAAMUOOUC,HOUSING CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DABRGATYN,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DABRGATYN,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DABXJ007J,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DACCLXR3I,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DACE8P1AC,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DACI0WCD1,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DADBLCOZA,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DADLF0CSR,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DADLF0CSR,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DADLF0CSR,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DADTX9UZC,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DADZ21S68,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAE5SI7YT,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DAE5XCQFI,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAEHWV2BJ,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAEHWV2BJ,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAENSKWVJ,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAFLJDD5G,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAFLJDD5G,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAFLJDD5G,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAGBPOZZV,HOUSING CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAGJRB0BV,HOUSING CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DAGJRB0BV,HOUSING CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAGJRB0BV,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAGJRB0BV,OUT OF COMPLIANCE,H054,TERMITES
DAGJRB0BV,HOUSING CRITICAL,H095,STAIRS - PREMISES
DAH5ZUVQD,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAH5ZUVQD,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAH5ZUVQD,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAH5ZUVQD,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAH5ZUVQD,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAHJUU7Y5,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAHJUU7Y5,HOUSING CRITICAL,H095,STAIRS - PREMISES
DAHJUU7Y5,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAHNHECIP,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAHNHECIP,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAHTN60A5,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAHVDCBQ0,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAI20MB36,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAI7YJSSZ,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAI7YJSSZ,HOUSING NON-CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DAIDGBSAP,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAIRTPGZG,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAITPKWD6,OUT OF COMPLIANCE,H046,BUILDING LACKING RAIN GUTTER SYSTEM
DAITPKWD6,HOUSING NON-CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DAJ5RM0U1,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAJAYCRZJ,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAJBBYW0Y,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAKJV0ILP,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAKJV0ILP,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAKJV0ILP,HOUSING NON-CRITICAL,H011,COVER PLATES - UNIT
DAKJV0ILP,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAKJV0ILP,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAKJV0ILP,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DAN6DMRVF,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAN6DMRVF,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DANCNYU2B,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DANCNYU2B,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DANIDHEKN,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DANIDHEKN,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DANNT9NBZ,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAOWUNGXV,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAOWUNGXV,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAOYONISX,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAP1AZHUN,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAPKR7CNN,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAPNZKNI2,HOUSING NON-CRITICAL,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DAPNZKNI2,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAPW1HJV5,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAPWDUCU5,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAPWDUCU5,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAPZNU0CZ,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAQ0JFBYF,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAQ0JFBYF,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAQHOVXG0,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAQHOVXG0,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAQHOVXG0,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAQHOVXG0,HOUSING NON-CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DAQHOVXG0,HOUSING NON-CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DAQHOVXG0,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAQHOVXG0,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAQIFEI6N,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAQIFEI6N,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAQIFEI6N,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAQIFEI6N,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DARD6USMJ,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DARD6USMJ,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DARD6USMJ,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DARPLUPWL,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DARPLUPWL,HOUSING CRITICAL,H069,WIRING - PREMISES
DAS4Z1SY2,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAS4Z1SY2,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAS4Z1SY2,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DATD7FIFI,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DATT1XYQK,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DATT1XYQK,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DATT1XYQK,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DATXAKOAY,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DATXAKOAY,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DATXAKOAY,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAUO4R0Q1,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAUSDEF8U,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAUSDEF8U,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAUSDEF8U,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAUSDEF8U,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DAUZGLW60,HOUSING NON-CRITICAL,H088,ANIMALS - PREMISES
DAUZGLW60,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAV0LSJ73,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAV0LSJ73,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
