SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4669865,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4669865,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4669865,HOUSING CRITICAL,H004,BEDBUGS - UNIT
DA4669865,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA4670361,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4670361,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4670361,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4670602,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4670866,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA4671057,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4671411,OUT OF COMPLIANCE,H013,WIRING - UNIT
DA4671411,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4671411,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4671411,OUT OF COMPLIANCE,RH37,SINK BASIN/FIXTURES - UNIT
DA4671411,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4671411,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4665954,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4666719,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4666719,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4666977,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4666977,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4666977,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4666977,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4666977,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT
DA4666977,OUT OF COMPLIANCE,RH31,LIGHTING - UNIT
DA4666977,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4667577,OUT OF COMPLIANCE,RH14,STAIRS - PREMISES
DA4667656,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4667656,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4667732,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4668174,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT
DA4668316,OUT OF COMPLIANCE,H042,NO WATER - UNIT
DA4671743,OUT OF COMPLIANCE,RH25,SEWER/DRAIN LINES - UNIT
DA4671743,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4671743,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
